word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency
hear,VB,__UNDEF__,+,183,246.204018
kind,NN,__UNDEF__,+,181,243.513264
One,Z,__UNDEF__,+,180,242.167887
Gandalf,NP,__UNDEF__,+,180,242.167887
thinking,VBG,__UNDEF__,+,180,242.167887
flew,VBD,__UNDEF__,+,180,242.167887
among,IN,__UNDEF__,+,180,242.167887
word,NN,__UNDEF__,+,179,240.82251
Just,RB,__UNDEF__,+,179,240.82251
Mother,NP,__UNDEF__,+,179,240.82251
better,JJR,__UNDEF__,+,178,239.477133
friends,NNS,__UNDEF__,+,178,239.477133
like,VB,__UNDEF__,+,176,236.786378
hands,NNS,__UNDEF__,+,176,236.786378
On,IN,__UNDEF__,+,176,236.786378
hardly,RB,__UNDEF__,+,175,235.441001
goosey-gander,NN,__UNDEF__,+,175,235.441001
doing,VBG,__UNDEF__,+,175,235.441001
Father,NP,__UNDEF__,+,174,234.095624
someone,PRP,__UNDEF__,+,174,234.095624
anyone,PRP,__UNDEF__,+,173,232.750247
dog,NN,__UNDEF__,+,173,232.750247
My,PRP$,__UNDEF__,+,172,231.40487
part,NN,__UNDEF__,+,171,230.059493
a_bit,RB,__UNDEF__,+,171,230.059493
talking,VBG,__UNDEF__,+,169,227.368738
understand,VB,__UNDEF__,+,169,227.368738
started,VBD,__UNDEF__,+,169,227.368738
words,NNS,__UNDEF__,+,168,226.023361
right,NN,__UNDEF__,+,168,226.023361
happened,VBD,__UNDEF__,+,167,224.677984
To,TO,__UNDEF__,+,166,223.332607
around,RP,__UNDEF__,+,166,223.332607
Daan,NP,__UNDEF__,+,165,221.98723
Mrs.,NP,__UNDEF__,+,165,221.98723
land,NN,__UNDEF__,+,165,221.98723
opened,VBD,__UNDEF__,+,165,221.98723
birds,NNS,__UNDEF__,+,165,221.98723
person,NN,__UNDEF__,+,164,220.641853
young,JJ,__UNDEF__,+,164,220.641853
afraid,JJ,__UNDEF__,+,164,220.641853
That,DT,__UNDEF__,+,164,220.641853
down,RB,__UNDEF__,+,163,219.296475
sea,NN,__UNDEF__,+,163,219.296475
alone,RB,__UNDEF__,+,161,216.605721
beautiful,JJ,__UNDEF__,+,160,215.260344
YOURS,NP,__UNDEF__,+,160,215.260344
woman,NN,__UNDEF__,+,159,213.914967
down,IN,__UNDEF__,+,159,213.914967
as_well,RB,__UNDEF__,+,159,213.914967
food,NN,__UNDEF__,+,158,212.56959
stopped,VBD,__UNDEF__,+,158,212.56959
His,PRP$,__UNDEF__,+,158,212.56959
Margot,NP,__UNDEF__,+,158,212.56959
Frode,NP,__UNDEF__,+,157,211.224212
Christopher_Robin,NP,__UNDEF__,+,157,211.224212
open,JJ,__UNDEF__,+,157,211.224212
Mikael,NP,__UNDEF__,+,157,211.224212
MILLENNIUM,NP,__UNDEF__,+,156,209.878835
lived,VBD,__UNDEF__,+,156,209.878835
found,VBN,__UNDEF__,+,156,209.878835
school,NN,__UNDEF__,+,155,208.533458
book,NN,__UNDEF__,+,155,208.533458
along,RP,__UNDEF__,+,153,205.842704
happy,JJ,__UNDEF__,+,153,205.842704
it,__UNDEF__,__UNDEF__,+,153,205.842704
island,NN,__UNDEF__,+,152,204.497327
goose,NN,__UNDEF__,+,151,203.15195
coffee,NN,__UNDEF__,+,151,203.15195
horse,NN,__UNDEF__,+,150,201.806572
trying,VBG,__UNDEF__,+,148,199.115818
saying,VBG,__UNDEF__,+,148,199.115818
minutes,NNS,__UNDEF__,+,147,197.770441
often,RB,__UNDEF__,+,147,197.770441
tree,NN,__UNDEF__,+,147,197.770441
ago,RB,__UNDEF__,+,146,196.425064
